YYYY/MM/DD,USD/XAU,AUD/XAU,BRL/XAU,GBP/XAU,CAD/XAU,CLP/XAU,CNY/XAU,DKK/XAU,EGP/XAU,EUR/XAU,HKD/XAU,HUF/XAU,ISK/XAU,INR/XAU,IDR/XAU,ILS/XAU,JPY/XAU,KWD/XAU,MYR/XAU,MXN/XAU,NZD/XAU,NOK/XAU,PHP/XAU,PLN/XAU,RUB/XAU,SAR/XAU,SGD/XAU,ZAR/XAU,KRW/XAU,LKR/XAU,SEK/XAU,CHF/XAU,TWD/XAU,THB/XAU,TRY/XAU,AED/XAU
1/4/16,0.021037736,0.038146776,0.047329889,0.025223057,0.030554634,0.034264472,0.027656417,0.026475822,0.021089915,0.026315391,0.02101139,0.02324823,0.028620457,0.027115709,0.030554634,0.027663769,0.012970655,0.022316051,0.033449689,0.030953029,0.036685824,0.027924423,0.026723723,0.030843465,0.021917098,0.015551352,0.028099751,0.01986014,0.034930587,0.018772852,0.028046623,0.022840394,0.02760808,0.024948238,0.038431845,0.01609835
1/5/16,-0.004896979,-0.002757892,-0.017754873,-0.003231119,-0.003187302,-0.010816333,-0.006906457,0.000274071,-0.005049534,0.000789939,-0.004755751,-0.004009804,-0.001312691,-0.006017893,-0.013089179,-0.003197855,-0.007399543,-0.005191678,-0.005652527,-0.004954287,0.001070957,-0.005733115,-0.009542158,0.001396874,-0.003714484,-0.005934903,-0.003781001,-0.010702502,-0.005731867,-0.002408184,0.006004671,0.000483242,-0.005317145,-0.005997452,0.000402009,-0.006119898
1/6/16,0.013370474,0.024963443,0.015316056,0.015658327,0.019960677,0.014279377,0.018543346,0.011925803,0.01331868,0.011552603,0.013488128,0.015071633,0.01235335,0.016570254,0.020026798,0.016825204,0.009623243,0.015838773,0.025037184,0.017922849,0.022262665,0.019960836,0.0165461,0.022292279,0.030223115,0.013424734,0.018833578,0.012317396,0.021709571,0.011614807,0.013723954,0.012216339,0.016825528,0.016539886,0.020640623,0.013702981
1/7/16,0.013743815,0.020336805,0.021690691,0.017169126,0.012088312,0.02403455,0.019201532,0.004183091,0.013419973,0.00453659,0.013979183,0.003966274,0.005518494,0.01401732,0.01207181,0.009554154,0.008698612,0.007951945,0.013674586,0.026240514,0.01199366,0.007600187,0.011761827,0.001162244,0.012614697,0.02104416,0.010072877,0.005431389,0.007749328,0.013462318,0.002903526,0.007401572,0.012798841,0.013128459,0.011213083,0.020837584
1/8/16,-0.004067245,0.002857698,-0.004559088,-8.91E-05,0.002307404,0.004367365,-0.003296738,-0.006430539,-0.003227053,-0.006349336,-0.002847133,-0.000765355,-0.007804429,-0.002903197,-0.007501003,-0.003281189,-0.006009128,-0.00143607,-0.006991991,0.010542326,0.010307998,-0.005897922,0.002633946,-0.00110034,0.002314881,0.000141704,0.003241459,-0.019306098,0.008365226,-0.005657861,-0.001925958,-0.008926278,-5.05E-05,-0.000795221,0.001250068,6.90E-05
1/11/16,-0.000998276,-0.003297715,-0.000899555,-0.003870346,0.0028139,0.004356756,-0.005071693,-9.44E-05,-0.000947241,-0.00030235,-0.00151296,0.003403219,-0.000852072,-0.00143189,0.002746001,0.000882413,-0.003034803,-0.001886687,-0.000291187,0.001789895,-0.000474244,0.003443926,-0.001505383,0.000273385,0.014084166,-0.004647162,-0.005157028,-0.00137384,-0.001494263,0.000599794,-0.00139648,0.001686055,-0.000249601,-0.002290325,0.007092418,-0.004103869
1/12/16,-0.013989826,-0.011646121,-0.014476961,-0.003005919,-0.008020317,-0.014111146,-0.013494592,-0.009935957,-0.013272077,-0.010203914,-0.013735699,-0.012266504,-0.00893239,-0.01266105,-0.017600806,-0.014590715,-0.01122037,-0.009894181,-0.007398277,-0.016240113,-0.009272692,-0.017296661,-0.010672244,-0.010253821,-0.000530794,-0.018678377,-0.011928911,0.000348545,-0.012193963,-0.014058294,-0.010983133,-0.011012283,-0.013340047,-0.013582305,-0.013502859,-0.019069871
1/13/16,0.002579694,-0.000427066,-0.011221821,-0.00205506,0.002790158,-0.005357378,0.002793217,0.000381565,0.001722471,0.000146275,0.002295531,-0.003731231,5.23E-05,0.00045082,0.002796468,0.001968334,0.004366672,-0.002489159,-0.005191537,-0.000832343,-0.002782394,-0.010184214,0.001459021,-0.00424227,-0.004196778,0.008226146,-0.000417659,0.000287871,-0.001480004,0.002231576,-0.001394331,0.00596797,0.000448845,0.001033355,-0.004184015,0.008263748
1/14/16,0.00018379,0.002702616,0.003742895,0.004351403,0.0057116,-0.000877625,0.00248079,-4.91E-05,0.000464834,0.000172926,0.003535007,-0.001985508,0.001151843,0.00995601,0.00566109,0.003514854,-7.04E-05,0.004639172,0.003861944,0.002311483,0.013956812,-0.002884363,0.010066945,0.010812337,-0.002833967,-0.006479501,0.002555216,-0.019387582,0.005744055,-0.000372061,0.002719913,0.000919161,0.005464496,0.002887586,0.003166248,-0.006620366
1/15/16,0.004961411,0.021721287,0.015802256,0.013388578,0.015799025,0.012739772,0.004290431,-0.004195213,0.004987076,-0.004360767,0.006368342,-0.004088234,-0.004061863,0.010121637,-0.003536901,0.009697831,-0.005428868,0.002584445,0.006265041,0.024385837,0.010876773,0.010859677,0.006096011,0.016373799,0.022867182,0.004075273,0.007058868,0.014545771,0.009853954,0.004751855,0.006820686,-0.003609327,0.008050278,0.005376113,0.012364503,0.00411126
1/18/16,-0.004205522,-0.005640778,-0.00757576,-0.002796923,-0.005644928,-0.004641784,-0.005203479,0.002815459,-0.005146414,0.002989178,-0.00380959,0.003872329,0.002372036,-0.005190584,0.003927231,-0.007018288,0.000825466,-0.005910593,-0.005042933,-0.004314668,-0.006254614,0.005350549,-0.006305916,-0.00228107,0.01608464,-0.001835344,-0.005173387,0.006011588,-0.010665348,-0.002682477,0.000252095,0.002964063,-0.005864488,-0.005875905,-0.010409849,-0.001703389
