,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.008997990482309771,0.05,2.1324722597019328,0.0025535988098075234,0.006444391672502247
1,1,0,0.028219526460110236,0.0,7.8852479802391775,0.003406564677281239,0.024812961782828998
2,0,2,0.0010030112195411514,0.75,-0.7548575623597359,0.005018736778027945,-0.004015725558486794
3,2,0,0.0041952141148798045,0.2,0.1123921262869213,0.0035293121030496298,0.0006659020118301748
4,0,3,0.0003733947445964726,0.85,-0.6967865899986747,0.0051689716884402576,-0.0047955769438437846
5,3,0,0.00317487917654216,0.15,-0.03147362584806911,0.0034831572842041027,-0.00030827810766194267
6,0,4,0.001376238038262628,0.6,-0.39299313158396365,0.004913905144353001,-0.0035376671060903726
7,4,0,0.01437056813130097,0.1,1.6268800067395197,0.004462444100246803,0.009908124031054167
8,0,5,0.006115356612148215,0.3,0.3061056089582569,0.004749647641367178,0.0013657089707810365
9,5,0,0.004059152827170984,0.35,0.2725598289236266,0.0030317880553244305,0.001027364771846554
10,0,6,0.001359010433635107,0.4,-0.20333110403330354,0.002005035312643346,-0.0006460248790082393
11,6,0,0.011946604432381516,0.05,1.7186873168344379,0.0036829547669057173,0.008263649665475797
12,0,7,0.0012186263310704141,0.5,-0.5313073964943502,0.0029834143290615447,-0.0017647879979911306
13,7,0,2.7148142632272575e-05,0.95,-0.6309459536080564,0.0021431460118297684,-0.0021159978691974958
14,0,8,2.153487451361651e-05,1.0,-0.9063563510538359,0.003670683539848182,-0.0036491486653345653
15,8,0,0.01648852767688313,0.1,1.3504671279589082,0.005935441993274307,0.010553085683608823
16,1,2,0.04140587904436468,0.0,4.817814467580685,0.004137199061729812,0.03726867998263487
17,2,1,0.000902596318715923,0.75,-0.696716432879405,0.004565022696775145,-0.003662426378059222
18,1,3,0.005151759176410458,0.3,0.1042128300847874,0.004490708653727338,0.0006610505226831197
19,3,1,0.0008735515018599265,0.7,-0.9249347283918404,0.007921684921444839,-0.007048133419584913
20,1,4,0.009533988205865547,0.2,0.729691322183359,0.0052335236174618415,0.0043004645884037055
21,4,1,2.589945120938731e-05,0.95,-0.6561172829347468,0.004151933803783316,-0.004126034352573929
22,1,5,0.16098014647168074,0.0,42.9116271692749,0.003449286982899058,0.15753085948878168
23,5,1,0.07146889753364381,0.0,11.432904614196746,0.004555922075039497,0.06691297545860432
24,1,6,0.028147201241189145,0.0,2.761013857168892,0.006226333641695192,0.02192086759949395
25,6,1,0.02824964197078171,0.0,4.744022001838244,0.004972219500804552,0.02327742246997716
26,1,7,0.038634113417346516,0.0,6.679802047989632,0.005909963555359351,0.03272414986198716
27,7,1,0.018722702861582858,0.05,3.2602693715447404,0.0038712725716005232,0.014851430289982336
28,1,8,0.009669204301296263,0.1,1.412486066567288,0.0037879394713301795,0.0058812648299660835
29,8,1,1.0867982920325218e-05,0.85,-0.8306140756397967,0.003555453450390091,-0.003544585467469766
30,2,3,0.0006102223895398227,0.7,-0.883594485897514,0.004621766721384035,-0.004011544331844212
31,3,2,0.004073151109276749,0.2,0.009950952164161026,0.003998833640566078,7.431746871067093e-05
32,2,4,0.006152718115410843,0.25,-0.08740392991813686,0.0073336889268751,-0.0011809708114642568
33,4,2,0.010850529515636663,0.15,0.5389329170786981,0.005208177177060213,0.00564235233857645
34,2,5,0.03916144678176913,0.0,7.9550618805971265,0.003236086459122435,0.0359253603226467
35,5,2,0.01548887147524122,0.1,1.3313769765923642,0.004819979799991448,0.01066889167524977
36,2,6,0.003642876593621806,0.55,-0.3911249660755153,0.006353066938682135,-0.0027101903450603287
37,6,2,0.00018515296124791515,0.8,-0.5489415797110039,0.00482463532281121,-0.004639482361563294
38,2,7,0.0006745923816527849,0.75,-0.8701867912133558,0.004154822335768414,-0.003480229954115629
39,7,2,0.0008649048642062848,0.7,-0.7086536691497339,0.006282487544216118,-0.005417582680009834
40,2,8,7.321807988531271e-05,0.9,-0.8806908172179516,0.005401955749561248,-0.005328737669675935
41,8,2,0.017079841255026828,0.05,1.8404086770821237,0.00590161084384668,0.011178230411180148
42,3,4,0.0012377140151226013,0.85,-0.7449982986960088,0.006562664948131838,-0.005324950933009237
43,4,3,0.007268018142188576,0.15,0.6547886466293374,0.0037768867974941078,0.0034911313446944685
44,3,5,0.0054425867725857785,0.3,0.11315474441214901,0.004772375731048344,0.0006702110415374345
45,5,3,0.005652859597539192,0.25,0.26366797089500776,0.004091047451466762,0.0015618121460724303
46,3,6,0.00038717657674586687,0.75,-0.5003258973876921,0.006463828045146347,-0.0060766514684004805
47,6,3,0.004321116876772918,0.2,0.5841703352324755,0.002516392462586549,0.001804724414186369
48,3,7,0.0006887661068271678,0.7,-0.8551278453149754,0.008271743438282953,-0.007582977331455785
49,7,3,0.0033651982756518215,0.4,-0.20519841069416034,0.004280425503027324,-0.0009152272273755023
50,3,8,0.0004820481911323331,0.7,-0.6380575886823745,0.00320955619426254,-0.002727508003130207
51,8,3,0.03450197735706675,0.0,5.772541437273933,0.004594626972173535,0.029907350384893214
52,4,5,0.03143220331193494,0.0,8.09136633744381,0.0035588531791382514,0.027873350132796692
53,5,4,0.020835784811940584,0.1,1.7442588482182635,0.0055620219660719875,0.015273762845868597
