,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.0014227517337306352,0.45,-0.4537739454310364,0.003570229426343799,-0.002147477692613164
1,1,0,3.2190304505894846e-05,0.9,-0.7051636559259193,0.0037001150241323284,-0.0036679247196264335
2,0,2,0.0006761964096420179,0.65,-0.5672041402404062,0.0034829212514185222,-0.0028067248417765044
3,2,0,0.014635440848043304,0.0,3.571665422850446,0.0032463237928827297,0.011389117055160575
4,0,3,0.002461820350816709,0.6,-0.390431015730737,0.0038295596979362684,-0.0013677393471195594
5,3,0,0.004150909465657909,0.4,-0.08353154693677105,0.00454337256497669,-0.00039246309931878064
6,0,4,0.0011477865377605464,0.35,-0.2723082041900919,0.0022278636298048156,-0.0010800770920442692
7,4,0,0.003846051071911487,0.45,-0.053598204957580636,0.004100276370122497,-0.00025422529821101
8,0,5,0.0014885569484092513,0.55,-0.4867342421867968,0.0032119186175996544,-0.001723361669190403
9,5,0,0.010683770395866687,0.05,1.7802938843764895,0.002632121386096201,0.008051649009770486
10,0,6,0.024750422683655113,0.0,3.977995903307538,0.0038773965594983304,0.02087302612415678
11,6,0,0.03541275085688965,0.0,14.659184208997825,0.0027071541108600414,0.03270559674602961
12,1,2,0.011411761205989178,0.05,1.7749387116514141,0.003775074092997938,0.00763668711299124
13,2,1,0.020726080056372692,0.0,3.3776518044635258,0.0057213115683178275,0.015004768488054866
14,1,3,0.0009919563100404033,0.5,-0.5989290813593728,0.0028637285901003005,-0.0018717722800598972
15,3,1,0.005179815144473446,0.2,0.5320398446723617,0.003333443115328328,0.0018463720291451184
16,1,4,0.005669350908711515,0.3,0.1824267098833644,0.004437662087798201,0.0012316888209133138
17,4,1,0.0013135849560343895,0.7,-0.4825463056389542,0.003763411086098542,-0.0024498261300641526
18,1,5,0.009583818533911246,0.2,0.4819495928382188,0.0057242266943274295,0.0038595918395838164
19,5,1,0.017793831115589052,0.05,2.8369029193556536,0.00320562683932422,0.014588204276264831
20,1,6,0.00609546834290035,0.15,0.2766132367995954,0.003973270470223424,0.0021221978726769265
21,6,1,0.026931568308928282,0.0,8.474623425203848,0.002821460240130735,0.024110108068797546
22,2,3,0.00942262557916009,0.05,1.7916395154519555,0.002853074787710123,0.006569550791449967
23,3,2,0.0018599774605704076,0.4,-0.37473435499979546,0.0033925466590049623,-0.0015325691984345547
24,2,4,0.028302487318882543,0.05,3.177705037297337,0.005566673459725382,0.022735813859157163
25,4,2,0.003766521918477625,0.2,0.5395426015354149,0.002425388182671309,0.0013411337358063156
26,2,5,0.0017664471066913504,0.45,-0.40786196630528354,0.003070014013325951,-0.0013035669066346004
27,5,2,0.0002444437387611013,0.9,-0.8732090375289774,0.0040634209886659,-0.0038189772499047986
28,2,6,0.0005557064713778373,0.65,-0.6902114655828008,0.0026846153649488828,-0.0021289088935710454
29,6,2,0.004713496230459814,0.35,-0.21483352620379803,0.006431909754208867,-0.001718413523749053
30,3,4,0.003285892166981687,0.4,-0.31428293368065835,0.006020342604290872,-0.002734450437309185
31,4,3,0.002030532317920228,0.55,-0.5643683568839444,0.0064699247288128245,-0.004439392410892596
32,3,5,8.918537660971637e-06,0.95,-0.8692342399659334,0.003939852085707696,-0.0039309335480467245
33,5,3,0.008585840032145213,0.15,1.2373825893896613,0.002829666325710013,0.0057561737064352
34,3,6,0.00798887720792182,0.25,0.7977341331842597,0.00394535562608698,0.00404352158183484
35,6,3,0.0222066482811194,0.0,8.331633618085114,0.0017862746052803875,0.020420373675839015
36,4,5,0.0038291002266685765,0.3,-0.148521245906207,0.005122171597603762,-0.0012930713709351851
37,5,4,0.019494587884882557,0.05,2.986605288776754,0.003712297913536256,0.0157822899713463
38,4,6,0.019178965036384894,0.0,3.6128496577507234,0.003262037377221045,0.01591692765916385
39,6,4,0.02106959783953376,0.05,2.4765123992323574,0.0050474363876955265,0.016022161451838234
40,5,6,0.00014512666665278463,0.9,-0.7516449299525483,0.002517029387171089,-0.0023719027205183043
41,6,5,0.005927116685066471,0.25,0.5023251263275454,0.004116127587568038,0.0018109890974984328
