,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.06280515861960811,0.0,4.355752503570002,0.006963507757831078,0.05584165086177704
1,1,0,0.05335024873222505,0.0,2.6665841658753218,0.00892628752629836,0.04442396120592669
2,0,2,0.043085302484743515,0.0,3.714787490927411,0.0006899251740779099,0.0423953773106656
3,2,0,0.03012099672955415,0.05,1.6156074219821666,0.004833692963538772,0.02528730376601538
4,0,3,0.052595006315162784,0.0,4.35850976035143,-0.005314873611435633,0.05790987992659842
5,3,0,0.05062400413190993,0.0,3.6696840120423397,-0.0028709084898381086,0.053494912621748034
6,0,4,0.09169491438240485,0.0,4.323977284770797,0.014285939121579761,0.07740897526082509
7,4,0,0.030534924989716217,0.1,1.6021328862355362,0.009353683712655502,0.021181241277060715
8,0,5,0.07560614902105911,0.0,5.537726766390807,-0.006287082383880959,0.08189323140494006
9,5,0,0.15041124248621962,0.0,9.939199946607848,0.0007024435670025086,0.14970879891921712
10,0,6,-0.009265592811772194,0.7,-0.6240648466711304,0.0011232540009906255,-0.010388846812762819
11,6,0,0.08037138980099989,0.0,6.3053702941768055,-0.0030108410908031846,0.08338223089180308
12,0,7,-0.002716932909484271,0.55,-0.04647282615311949,-0.0021233633610945545,-0.0005935695483897164
13,7,0,0.017941089556461343,0.25,0.5902857594538363,0.005234738778064063,0.012706350778397279
14,1,2,0.0012955467419919486,0.65,-0.5786869824695969,0.008868059458156741,-0.007572512716164792
15,2,1,0.005506335021055797,0.5,-0.19114700125077808,0.007841939416466692,-0.002335604395410895
16,1,3,0.012690495217948516,0.3,0.41665679925547006,0.0061330224571971795,0.006557472760751337
17,3,1,-0.00810854636972902,0.75,-0.7992451034496104,0.0013279060835148294,-0.009436452453243848
18,1,4,-0.00201920522737975,0.9,-1.0832685033193572,0.012059149453619033,-0.014078354680998783
19,4,1,-0.009824638647157435,0.95,-1.193723769265877,0.004920393869019479,-0.014745032516176915
20,1,5,0.01851143675620648,0.05,1.837747361333123,-0.002279397554148588,0.020790834310355066
21,5,1,0.018479904641897527,0.1,1.1682363337806811,0.0032599056728631393,0.015219998969034388
22,1,6,0.0889489765142466,0.0,8.170777771605286,0.010995085946429728,0.07795389056781687
23,6,1,0.013920337445836317,0.5,0.08351535683171683,0.012710360920953123,0.001209976524883194
24,1,7,0.00023923518338087035,0.7,-0.45682264548419854,0.006408976968839841,-0.006169741785458971
25,7,1,0.0369008317684818,0.0,2.1402294656486367,0.010681270713040503,0.0262195610554413
26,2,3,0.026400655940597595,0.0,3.879056119077189,-0.012214754682729766,0.038615410623327365
27,3,2,-0.006247178224204397,0.6,-0.24655115396886015,-0.0023258207551982713,-0.003921357469006126
28,2,4,-0.003237784221727047,0.8,-0.528368438335899,0.007630214309716887,-0.010867998531443934
29,4,2,0.003909717261078249,0.5,-0.08836416927019354,0.005084909157678364,-0.0011751918966001144
30,2,5,0.00587259372053861,0.4,0.4031443091494895,0.00144928354511622,0.00442331017542239
31,5,2,0.005843650281827983,0.35,0.36729588552302,-0.0010426457389131726,0.006886296020741156
32,2,6,-0.007886991262971321,0.6,-0.6583501645625323,0.001325437254859918,-0.00921242851783124
33,6,2,-0.005167961423192757,0.75,-0.7783079569285938,0.007145627629094919,-0.012313589052287677
34,2,7,0.023540575305458944,0.0,1.870428476396475,-0.0016947437455916425,0.025235319051050586
35,7,2,-0.0069900632694066545,0.65,-0.5503614858989919,0.00036626054419124364,-0.007356323813597898
36,3,4,0.021049029825543464,0.05,1.117204951717406,0.00016586372314182364,0.02088316610240164
37,4,3,0.0004924734736189151,0.35,0.1880391081767384,-0.0017505640610320672,0.002243037534650982
38,3,5,0.019116470214395775,0.1,1.458914480127369,-0.005324430801852608,0.024440901016248386
39,5,3,0.047232238860873466,0.0,3.4489804207360812,-0.0073536410525463,0.05458587991341977
40,3,6,-0.03433032284165005,1.0,-2.2794431769654913,-0.0016625119444873438,-0.03266781089716271
41,6,3,-0.0005172416633731913,0.35,0.240049768640313,-0.003943490492551893,0.003426248829178702
42,3,7,-0.014073464952279124,0.55,-0.2947266028974537,-0.009397235012319571,-0.004676229939959553
43,7,3,0.001403690291202686,0.1,0.7453217137221897,-0.010721805422044307,0.012125495713246993
44,4,5,0.0005519310013077927,0.35,-0.10841951695036146,0.002613741813651771,-0.0020618108123439784
45,5,4,-0.004206261774531761,0.7,-0.4044683463311735,0.0030979850049541293,-0.00730424677948589
46,4,6,-0.010374671440795957,0.9,-1.2425055701538736,0.005808499087132013,-0.01618317052792797
47,6,4,0.009738676607637053,0.25,0.8433775876275744,0.001244557857746864,0.00849411874989019
48,4,7,-0.011721568959545792,0.85,-1.1365033594521916,0.0066492113250717685,-0.018370780284617562
49,7,4,0.001993221334466888,0.5,-0.3420689128212585,0.008207595668822166,-0.006214374334355278
50,5,6,-0.0066126591658246525,0.55,-0.2179259786718423,-0.003201234807062625,-0.0034114243587620276
51,6,5,-0.0004975343846229663,0.45,-0.058583754283614724,0.0006137315114423059,-0.001111265896065272
52,5,7,0.08650515120249924,0.0,6.3749006490719236,0.0016786387955413761,0.08482651240695786
53,7,5,0.03556167525105991,0.05,2.0835985339543366,-0.0030429921988299304,0.03860466744988984
54,6,7,0.030248200001760317,0.0,2.9290738112483785,-0.0002366465306149479,0.030484846532375265
55,7,6,-0.00477269528586266,0.6,-0.3589458832444254,0.00163361049518409,-0.006406305781046751
