,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,-0.004688445030998523,0.45,-0.172883026987785,-0.0016305113835584529,-0.00305793364744007
1,1,0,0.006359818866458866,0.3,0.4694613278082175,-0.0012990957922671242,0.007658914658725991
2,0,2,-0.03799123989785036,0.95,-1.6366980584058424,-0.018728571535875503,-0.019262668361974856
3,2,0,-0.011123840870746804,0.4,0.18360238558794417,-0.014859381073688182,0.003735540202941378
4,0,3,-0.025416655008523747,0.75,-0.9123130597536229,-0.012540061204497488,-0.01287659380402626
5,3,0,-0.01768821323290659,0.6,-0.28659895100717747,-0.013419148024844363,-0.004269065208062228
6,1,2,-0.031910959502976954,0.8,-0.9362354591721218,-0.016587013249234284,-0.01532394625374267
7,2,1,-0.0017778746609451446,0.3,0.3265419982241617,-0.008033224001747063,0.006255349340801918
8,1,3,-0.0537288023146969,1.0,-2.2470683905648707,-0.010627137306367019,-0.04310166500832988
9,3,1,-0.019400992715751464,0.8,-0.5634544338261223,-0.009180400350113981,-0.010220592365637483
10,2,3,0.0021116665555416247,0.05,1.5116393076103007,-0.024877530547883574,0.0269891971034252
11,3,2,-0.027094459150875938,0.3,0.3047515474329666,-0.03223388839800993,0.005139429247133995
