,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.0002620578151021092,0.85,-0.7122981811272058,0.003759372526391793,-0.003497314711289684
1,1,0,7.639115624559773e-06,1.0,-1.0530606171018444,0.003084610879008201,-0.0030769717633836414
2,0,2,0.0009544924310449587,0.6,-0.46428410216955035,0.003931411314781894,-0.0029769188837369355
3,2,0,0.005406455989841455,0.15,0.6655235105246438,0.0028859245607411148,0.00252053142910034
4,0,3,0.010330149963335202,0.05,2.0396646451340743,0.003706700887691547,0.0066234490756436545
5,3,0,0.0001077389149912924,0.9,-0.7550954455482638,0.004737693787481363,-0.004629954872490071
6,1,2,4.319967345184062e-05,0.95,-0.9551895136456148,0.004057782376231717,-0.004014582702779876
7,2,1,0.00045896420408793787,0.85,-0.7948700495333898,0.003731949029260704,-0.003272984825172766
8,1,3,0.0033344946365643845,0.45,-0.34130031577719644,0.00532885125137865,-0.001994356614814265
9,3,1,0.0006849188749459063,0.65,-0.6563241642700954,0.004231064623422919,-0.0035461457484770127
10,2,3,3.819910927809237e-06,0.9,-0.736437231780184,0.004166886987359686,-0.004163067076431877
11,3,2,6.197787768383706e-05,0.9,-0.5251111614825498,0.004045192931347331,-0.003983215053663494
