,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,4.4918348384597754e-05,0.8,-0.6151244271087601,0.004668196180069868,-0.00462327783168527
1,1,0,0.0008738492394006152,0.65,-0.702251696347042,0.004584750950625176,-0.003710901711224561
2,0,2,0.00045253652114722067,0.8,-0.7598393303792755,0.005999318980358412,-0.005546782459211191
3,2,0,3.06272675385209e-05,0.85,-0.9071822050865807,0.0039025822767001436,-0.0038719550091616227
4,0,3,0.003059525368160841,0.4,-0.12176133324605025,0.0035363432644645544,-0.0004768178963037136
5,3,0,0.00017533762900040915,0.8,-0.667083857193522,0.005093813380814356,-0.0049184757518139464
6,1,2,2.9626655323292756e-05,0.85,-0.7583982737615063,0.002418899607638863,-0.00238927295231557
7,2,1,1.9189715631131378e-07,1.0,-0.8400087498253829,0.0030827520598181437,-0.0030825601626618326
8,1,3,0.00012264286414056166,0.95,-0.9008221912426047,0.0042186430386968645,-0.004096000174556303
9,3,1,5.920565171828485e-05,0.85,-0.8934840939934019,0.00337554058710857,-0.003316334935390285
10,2,3,0.0003638667351779348,0.8,-0.9403315798019249,0.00505688107312316,-0.004693014337945225
11,3,2,8.796251752640672e-05,0.95,-0.7296467142825613,0.004758736456382258,-0.004670773938855851
