,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,-0.0013413282552159345,0.5,-0.28288850768176527,0.003882261931104436,-0.005223590186320371
1,1,0,-0.014194697433851378,0.75,-0.8914548223511858,-0.001625941724294333,-0.012568755709557044
2,0,2,0.007168404482291724,0.25,0.5501915817359176,-0.004501127151782458,0.011669531634074182
3,2,0,-0.012911474883312568,0.55,-0.4378513290818522,-0.0029234097764666567,-0.009988065106845911
4,0,3,-0.015923363058617745,0.7,-0.6686054520217124,-0.007324871293872248,-0.008598491764745498
5,3,0,-0.01709068713926376,0.7,-0.6642694601026986,-0.0034275846488120544,-0.013663102490451707
6,0,4,0.02748451276990327,0.0,3.222458047032276,-0.00871561093193345,0.036200123701836714
7,4,0,0.0219298836340438,0.05,1.130395991009188,-0.001181677048164498,0.0231115606822083
8,0,5,-0.011455711283962167,0.55,-0.07838346553267364,-0.010269585717738927,-0.0011861255662232398
9,5,0,-0.004296254384119624,0.5,-0.08404957453453968,-0.002789599357973116,-0.0015066550261465085
10,0,6,-0.015808527487241264,0.8,-0.6631618059227083,-0.006975522230050779,-0.008833005257190486
11,6,0,0.0005519014240529252,0.5,-0.13895813220971712,0.003031069104508988,-0.0024791676804560626
12,1,2,-0.010061750648949097,1.0,-1.467745430039311,0.006449779387439514,-0.01651153003638861
13,2,1,-0.020618500442037835,0.95,-1.3690139558979504,-0.0008841851171193405,-0.019734315324918494
14,1,3,-0.03181248887707344,1.0,-1.7027203926563972,-0.0027841554024263136,-0.029028333474647127
15,3,1,0.00026006135113743056,0.7,-0.507652219515474,0.009191987848556927,-0.008931926497419496
16,1,4,0.004826848307991405,0.2,0.7312728202037865,-0.007493460914075989,0.012320309222067394
17,4,1,0.00852002567494825,0.15,0.8444117997328073,-0.0040088828703355615,0.012528908545283813
18,1,5,0.006105020422413787,0.2,0.7474021858142327,-0.004820004774392195,0.010925025196805983
19,5,1,-0.015234210248156188,0.75,-0.48189893104649767,-0.004175116766726661,-0.011059093481429527
20,1,6,-0.006434705091733939,0.8,-0.9382835148251014,0.012085992226789632,-0.01852069731852357
21,6,1,0.03460701846872727,0.1,1.7807504270948975,0.0029527425160029708,0.0316542759527243
22,2,3,-0.025673523440704393,0.9,-0.946839339768721,-0.00937683115818715,-0.016296692282517244
23,3,2,-0.007256138453306082,0.55,-0.10643273924714604,-0.006115461688759672,-0.0011406767645464107
24,2,4,0.002415176460371704,0.25,0.619001816110291,-0.006077566397483069,0.008492742857854774
25,4,2,-0.006171012968470446,0.5,-0.27550649693899953,-0.0019431675991652853,-0.004227845369305161
26,2,5,0.02090638603314332,0.1,1.5873768532157506,-0.006352294018503768,0.02725868005164709
27,5,2,-0.030676685947836457,1.0,-1.8425479092258517,-0.0026460097366875824,-0.028030676211148874
28,2,6,-0.006835492736381177,0.75,-0.6766930024835924,0.005647740261542511,-0.012483232997923688
29,6,2,0.03472343409103518,0.0,2.4516968304345714,0.006079593709313658,0.02864384038172152
30,3,4,-0.023420406393218407,0.75,-0.9035967794512658,-0.010251435034055834,-0.013168971359162573
31,4,3,-0.03096238903624471,0.95,-1.8499552350798534,-0.005181772328986756,-0.025780616707257953
32,3,5,0.007662792055527667,0.2,0.6843661960324309,-9.365488068078243e-05,0.0077564469362084495
33,5,3,-0.01261460720654295,0.5,-0.448211268936299,-0.0033410410660013714,-0.009273566140541579
34,3,6,-0.018415321327872824,0.9,-1.2673895382151914,0.0036881180749128275,-0.02210343940278565
35,6,3,-0.0006673703089008498,0.5,0.18209246815767643,-0.0029129944670439833,0.0022456241581431335
36,4,5,-0.026384593681267887,0.85,-1.17089129457667,-0.006675379081304178,-0.01970921459996371
37,5,4,-0.009047374759824756,0.5,0.050136374358900934,-0.009735752497774497,0.0006883777379497417
38,4,6,-0.019698079836328652,0.75,-0.9278376864907647,-0.0034199950517638687,-0.016278084784564783
39,6,4,3.3244364181506114e-05,0.3,0.41499962571008947,-0.006065671326236077,0.006098915690417583
40,5,6,-0.023087648325515353,0.85,-1.3257036484545694,0.0017644799255107867,-0.02485212825102614
41,6,5,0.0026239973659301086,0.4,-0.2510709513769722,0.008878915907233798,-0.006254918541303689
